implementation,runtime,generated_at_unix_ms,benchmark,column_kind,column_value,column_label,iterations,warmup,avg_ns,min_ns,p75_ns,p99_ns,max_ns
knitting,bun 1.3.11,1780359504852,knitting f64 (8 bytes),batch,1,n=1,500,200,8775.894,3087,9437,20612,136251
knitting,bun 1.3.11,1780359504852,knitting f64 (8 bytes),batch,10,n=10,500,50,14941.83,6595,16705,39863,64575
knitting,bun 1.3.11,1780359504852,knitting f64 (8 bytes),batch,100,n=100,500,50,69625.768,27954,78952,155766,1004231
knitting,bun 1.3.11,1780359504852,knitting Uint8Array (1 MiB),batch,1,n=1,500,200,550026.77,243134,313974,3183805,4132611
knitting,bun 1.3.11,1780359504852,knitting Uint8Array (1 MiB),batch,10,n=10,500,50,4143766.886,2524283,4742854,6561597,6936820
knitting,bun 1.3.11,1780359504852,knitting Uint8Array (1 MiB),batch,100,n=100,500,50,31279061.166,27226279,31775221,49508681,68967388
knitting,bun 1.3.11,1780359504852,knitting ProcessSharedBuffer (1 MiB),batch,1,n=1,500,200,8972.35,6168,9272,21167,74604
knitting,bun 1.3.11,1780359504852,knitting ProcessSharedBuffer (1 MiB),batch,10,n=10,500,50,29136.022,11534,33460,101396,115987
knitting,bun 1.3.11,1780359504852,knitting ProcessSharedBuffer (1 MiB),batch,100,n=100,500,50,129844.646,79303,162246,232245,268529
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,8,8 B,500,50,69199.342,46066,65136,167635,2637861
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,16,16 B,500,50,60201.254,48099,63918,77031,113402
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,32,32 B,500,50,48895.672,45208,49400,59141,73062
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,64,64 B,500,50,70670.834,49697,92296,220767,396825
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,128,128 B,500,50,62092.374,44945,65227,117169,739482
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,256,256 B,500,50,52581.96,46959,52379,64102,689918
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,512,512 B,500,50,73113.716,55645,77961,189576,592061
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,1024,1 KiB,500,50,172661.566,96220,192596,324289,5744517
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,2048,2 KiB,500,50,227891.064,105128,216852,2962842,7154058
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,4096,4 KiB,500,50,229928.202,122050,166436,3184690,5417937
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,8192,8 KiB,500,50,316361.06,176902,216365,3381807,4400937
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,16384,16 KiB,500,50,530750.194,274346,397562,4069843,5979007
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,32768,32 KiB,500,50,868038.298,449360,707861,4863594,5425285
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,65536,64 KiB,500,50,1582947.374,895937,1551565,5769790,7755216
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,131072,128 KiB,500,50,3322713.93,2008808,4366134,7839129,9561036
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,262144,256 KiB,500,50,6807918.052,4391441,7852036,11459741,16649377
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,524288,512 KiB,500,50,15541046.644,11082201,16708771,26044285,30993941
knitting,bun 1.3.11,1780359504852,knitting Uint8Array size sweep (batch=100),size_bytes,1048576,1 MiB,500,50,33133461.948,26970137,34152947,53396505,79874301
knitting,bun 1.3.11,1780359504852,Uint8Array arc comparison size sweep (batch=100),size_bytes,8,8 B,500,50,81517.582,61833,85524,147983,304301
knitting,bun 1.3.11,1780359504852,Uint8Array arc comparison size sweep (batch=100),size_bytes,16,16 B,500,50,63309.954,52598,65191,106177,255263
knitting,bun 1.3.11,1780359504852,Uint8Array arc comparison size sweep (batch=100),size_bytes,32,32 B,500,50,61010.026,50116,59198,85905,2332137
knitting,bun 1.3.11,1780359504852,Uint8Array arc comparison size sweep (batch=100),size_bytes,64,64 B,500,50,55522.414,50152,55026,84182,175752
knitting,bun 1.3.11,1780359504852,Uint8Array arc comparison size sweep (batch=100),size_bytes,128,128 B,500,50,62535.844,50744,56659,112128,2192553
knitting,bun 1.3.11,1780359504852,Uint8Array arc comparison size sweep (batch=100),size_bytes,256,256 B,500,50,57703.214,50551,55397,68130,1300778
knitting,bun 1.3.11,1780359504852,Uint8Array arc comparison size sweep (batch=100),size_bytes,512,512 B,500,50,74637.492,52564,79128,156208,1884228
