implementation,runtime,generated_at_unix_ms,benchmark,column_kind,column_value,column_label,iterations,warmup,avg_ns,min_ns,p75_ns,p99_ns,max_ns
knitting,deno 2.7.4,1780359560428,knitting f64 (8 bytes),batch,1,n=1,500,200,12824.09,2727,14459,80562,178046
knitting,deno 2.7.4,1780359560428,knitting f64 (8 bytes),batch,10,n=10,500,50,15418.988,5768,8147,59761,3018944
knitting,deno 2.7.4,1780359560428,knitting f64 (8 bytes),batch,100,n=100,500,50,57135.272,31714,65578,270106,365930
knitting,deno 2.7.4,1780359560428,knitting Uint8Array (1 MiB),batch,1,n=1,500,200,657276.144,368459,684476,3574256,3944605
knitting,deno 2.7.4,1780359560428,knitting Uint8Array (1 MiB),batch,10,n=10,500,50,5997148.336,3521809,6326259,17504490,20331062
knitting,deno 2.7.4,1780359560428,knitting Uint8Array (1 MiB),batch,100,n=100,500,50,55175311.942,43393710,59329451,70443001,74235710
knitting,deno 2.7.4,1780359560428,knitting ProcessSharedBuffer (1 MiB),batch,1,n=1,500,200,20654.904,6037,21376,55399,95265
knitting,deno 2.7.4,1780359560428,knitting ProcessSharedBuffer (1 MiB),batch,10,n=10,500,50,20438.438,13735,19316,121889,267021
knitting,deno 2.7.4,1780359560428,knitting ProcessSharedBuffer (1 MiB),batch,100,n=100,500,50,107920.838,55421,123207,377038,682542
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,8,8 B,500,50,116079.986,66735,138768,289306,514084
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,16,16 B,500,50,78467.148,66348,72754,156352,368681
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,32,32 B,500,50,75731.668,65757,72742,162390,325797
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,64,64 B,500,50,72819.564,63150,70591,150443,309282
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,128,128 B,500,50,74664.334,62338,76822,138660,369792
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,256,256 B,500,50,74051.414,63497,76004,170400,338166
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,512,512 B,500,50,103735.114,68620,88841,248688,4226476
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,1024,1 KiB,500,50,156038.016,111986,137114,311276,4396619
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,2048,2 KiB,500,50,307847.342,122573,235597,4962608,7091913
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,4096,4 KiB,500,50,455258.26,165265,365375,5266596,8375174
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,8192,8 KiB,500,50,614610.882,275365,377525,5496567,7146719
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,16384,16 KiB,500,50,1007522.792,380539,678847,5878940,7616388
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,32768,32 KiB,500,50,1721757.792,696953,2041444,6666521,7191833
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,65536,64 KiB,500,50,2455821.36,1230910,2932025,8922918,13683470
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,131072,128 KiB,500,50,5305248.174,2501044,6896647,9938761,17315771
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,262144,256 KiB,500,50,12492577.428,5317487,13337794,25328507,30048165
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,524288,512 KiB,500,50,25353206.034,15574025,27140809,37153823,40235948
knitting,deno 2.7.4,1780359560428,knitting Uint8Array size sweep (batch=100),size_bytes,1048576,1 MiB,500,50,54416604.496,41295975,57979837,71217460,85735051
knitting,deno 2.7.4,1780359560428,Uint8Array arc comparison size sweep (batch=100),size_bytes,8,8 B,500,50,119916.102,66448,139246,350982,1050723
knitting,deno 2.7.4,1780359560428,Uint8Array arc comparison size sweep (batch=100),size_bytes,16,16 B,500,50,84217.94,68676,79487,209116,476361
knitting,deno 2.7.4,1780359560428,Uint8Array arc comparison size sweep (batch=100),size_bytes,32,32 B,500,50,75869.992,69914,73345,159499,400765
knitting,deno 2.7.4,1780359560428,Uint8Array arc comparison size sweep (batch=100),size_bytes,64,64 B,500,50,77136.674,69625,73524,175791,519200
knitting,deno 2.7.4,1780359560428,Uint8Array arc comparison size sweep (batch=100),size_bytes,128,128 B,500,50,79925.17,71809,75447,184160,358457
knitting,deno 2.7.4,1780359560428,Uint8Array arc comparison size sweep (batch=100),size_bytes,256,256 B,500,50,79937.04,74607,77805,183032,346685
knitting,deno 2.7.4,1780359560428,Uint8Array arc comparison size sweep (batch=100),size_bytes,512,512 B,500,50,140183.732,77049,81568,255180,20534510
