implementation,runtime,generated_at_unix_ms,benchmark,column_kind,column_value,column_label,iterations,warmup,avg_ns,min_ns,p75_ns,p99_ns,max_ns
knitting,node 23.11.0,1773828074699,knitting number f64 (8 bytes),batch,1,n=1,500,200,6634.394,3226,5740,26249,356631
knitting,node 23.11.0,1773828074699,knitting number f64 (8 bytes),batch,10,n=10,500,50,17282.906,7313,14737,81261,1608331
knitting,node 23.11.0,1773828074699,knitting number f64 (8 bytes),batch,100,n=100,500,50,62333.996,39904,52407,314112,1616567
knitting,node 23.11.0,1773828074699,knitting large string (1048576 bytes),batch,1,n=1,500,200,2846199.566,1784228,3224528,3726369,4028338
knitting,node 23.11.0,1773828074699,knitting large string (1048576 bytes),batch,10,n=10,500,50,10792261.932,8353387,11931581,15754228,16879615
knitting,node 23.11.0,1773828074699,knitting large string (1048576 bytes),batch,100,n=100,500,50,84656934.04,74862180,86991756,105510564,108777799
knitting,node 23.11.0,1773828074699,knitting Uint8Array (1048576 bytes),batch,1,n=1,500,200,2350402.71,1388285,2511437,5579004,8699520
knitting,node 23.11.0,1773828074699,knitting Uint8Array (1048576 bytes),batch,10,n=10,500,50,5221390.354,4256292,5515686,9519550,12249623
knitting,node 23.11.0,1773828074699,knitting Uint8Array (1048576 bytes),batch,100,n=100,500,50,54954854.168,46322369,56932794,72394240,76593106
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,8,8 B,500,50,88201.476,58168,82894,294155,1392683
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,16,16 B,500,50,65372.038,58638,62977,161389,398729
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,32,32 B,500,50,65760.47,60131,63468,148987,321947
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,64,64 B,500,50,66881.58,60663,64098,165427,360308
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,128,128 B,500,50,79283.182,67385,73366,194842,1304528
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,256,256 B,500,50,83886.342,71953,80168,217743,1316542
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,512,512 B,500,50,97067.62,81842,100006,272045,443202
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,1024,1 KiB,500,50,157606.706,126064,169064,310185,1403262
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,2048,2 KiB,500,50,220680.01,160888,217754,534801,4916416
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,4096,4 KiB,500,50,324393.46,227322,355839,637482,3626424
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,8192,8 KiB,500,50,465889.332,347504,442440,944011,1622679
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,16384,16 KiB,500,50,741473.722,554838,759388,1245840,1932764
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,32768,32 KiB,500,50,1271982.948,1023688,1303307,2462516,2875681
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,65536,64 KiB,500,50,2491981.51,2035144,2625549,3742810,3832716
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,131072,128 KiB,500,50,5108128.938,4419174,5533020,6095352,6439220
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,262144,256 KiB,500,50,10111425.57,9226207,10338480,11082650,11443177
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,524288,512 KiB,500,50,22657457.134,19585937,23905155,27164118,28437449
knitting,node 23.11.0,1773828074699,knitting Uint8Array size sweep (batch=100),size_bytes,1048576,1 MiB,500,50,52528426.014,45843906,54360634,58686939,60457662
knitting,node 23.11.0,1773828074699,Uint8Array arc comparison size sweep (batch=100),size_bytes,8,8 B,500,50,86194.458,63335,84198,288320,1433165
knitting,node 23.11.0,1773828074699,Uint8Array arc comparison size sweep (batch=100),size_bytes,16,16 B,500,50,73727.588,62362,68355,277627,1347093
knitting,node 23.11.0,1773828074699,Uint8Array arc comparison size sweep (batch=100),size_bytes,32,32 B,500,50,70256.778,63404,67823,117249,1041796
knitting,node 23.11.0,1773828074699,Uint8Array arc comparison size sweep (batch=100),size_bytes,64,64 B,500,50,75939.736,64647,70158,244227,1337482
knitting,node 23.11.0,1773828074699,Uint8Array arc comparison size sweep (batch=100),size_bytes,128,128 B,500,50,82505.186,72423,76281,296458,1511330
knitting,node 23.11.0,1773828074699,Uint8Array arc comparison size sweep (batch=100),size_bytes,256,256 B,500,50,85939.31,77504,84559,259650,372148
knitting,node 23.11.0,1773828074699,Uint8Array arc comparison size sweep (batch=100),size_bytes,512,512 B,500,50,97227.816,87525,95352,299774,433799
